id,phase,country,location,name,preservation,lat,long,sex,age
214,3,Sweden,Kiaby,"southern boat, skeleton III",bog skeleton,56.073295,14.317569,unknown,child
215,5,Denmark,Aars,Borremose II,bog mummy,56.7933,9.58194,female,adult
216,5,Denmark,Aars,infant associated with Borremose II,bog skeleton,56.7933,9.58194,unknown,child
217,2,Denmark,Veksø,Sigersdal A,bog skeleton,55.7599,12.2583,female,adult
218,2,Denmark,Veksø,Sigersdal B,bog skeleton,55.7599,12.2583,female,child
219,2,Denmark,"Svenstrup, Bolkilde (also Boelkilde)",Bolkilde I,bog skeleton,55.0269,9.8332,male,child
220,2,Denmark,"Svenstrup, Bolkilde (also Boelkilde)",Bolkilde II,bog skeleton,55.0269,9.8332,male,adult
221,2,Denmark,Døjringe,Døjringe I,bog skeleton,55.490014,11.568318,male,adult
222,2,Denmark,Døjringe,Døjringe II,bog skeleton,55.490014,11.568318,male,adult
223,3,United Kingdom,Methwold,NA,bog skeleton,52.5204,0.40257,female,adult
224,3,United Kingdom,Methwold,NA,bog skeleton,51.520372,0.40245317,unknown,child
225,3,United Kingdom,"Methwold, Methwold Severals",40/2 (Turner 1995b),bog skeleton,52.5435,0.4326,male,adult
226,3,United Kingdom,"Methwold, Methwold Severals",40/3 (Turner 1995b),bog skeleton,52.5435,0.4326,female,adult
227,3,United Kingdom,"Methwold, Methwold Severals",40/5 (Turner 1995b),bog skeleton,52.5435,0.4326,unknown,child
228,3,United Kingdom,"Methwold, Methwold Severals",41/1 (Turner 1995b),bog skeleton,52.5444,0.4326,male,adult
229,3,United Kingdom,"Methwold, Methwold Severals",41/2 (Turner 1995b),bog skeleton,52.5444,0.4326,unknown,child
230,3,United Kingdom,"Methwold, Methwold Severals",41/3 (Turner 1995b),bog skeleton,52.5444,0.4326,unknown,child
231,5,United Kingdom,"Peterborough, Fengate Power Station",3/1 (Turner 1995b),bog skeleton,52.5763,-0.2036,unknown,adult
232,5,United Kingdom,"Peterborough, Fengate Power Station",3/2 (Turner 1995b,bog skeleton (partial),52.5763,-0.2036,unknown,unknown
233,5,United Kingdom,"Peterborough, Fengate Power Station",3/3 (Turner 1995c),bog skeleton (partial),52.5763,-0.2036,unknown,unknown
234,5,United Kingdom,Burwell,NA,bog skeleton (cranium/mandible),52.279,0.29955,female,adult
235,4,United Kingdom,Burwell,NA,bog skeleton (cranium/mandible),52.279,0.29955,female,adult
236,4,United Kingdom,Feltwell,NA,bog skeleton (cranium/mandible),52.3951,0.3506,unknown,unknown
237,5,Netherlands,Velserbroek B6,NA,bog skeleton (partial),52.43335,4.6492,unknown,unknown
238,5,Germany,Husbäke Man,Husbäke Man/Husbäke II,bog mummy,53.091241,7.964058,male,adult
239,5,Germany,Windeby,Windeby I/Windeby child,bog mummy,54.451503,9.825726,male,child
240,5,Lithuania,Širvintų,NA,bog skeleton,54.3563,23.320225,male,adult
241,5,Norway,Leinsmyra,NA,bog skeleton,59.1803,6.1629,female,child
242,5,Norway,Leinsmyra,NA,bog skeleton,59.1803,6.1629,female,adult
243,5,Norway,"Hedmark, Lang Re and Nordre Rå, Råtjennet",skeleton II,bog skeleton (cranium/mandible),60.6711,11.1388,male,adult
244,5,Norway,"Hedmark, Lang Re and Nordre Rå, Råtjennet",skeleton III,bog skeleton (partial),60.6711,11.1388,female,adult
245,2,Sweden,Sandåkra,NA,bog skeleton,55.498394,13.5134,female,adult
246,2,Sweden ,Saxtorp,individual 3,bog skeleton (partial),55.838914,12.961232,unknown,unknown
247,2,Sweden,Saxtorp,individual 1,bog skeleton (partial),55.838914,12.961232,female,adult
248,2,Sweden,Saxtorp,individual 2,bog skeleton (partial),55.838914,12.961232,female,unknown
249,5,Sweden,Saxtorp,layer 103,bog skeleton (partial),55.838914,12.961232,unknown,unknown
250,5,Sweden,"Öland, Gärdlösa",ind. 11,bog skeleton,56.837683,16.742526,unknown,child
251,5,Sweden,"Öland, Gärdlösa",ind. 37,bog skeleton,56.837683,16.742526,female,adult
252,5,Sweden,"Öland, Gärdlösa",ind. 6,bog skeleton,56.837683,16.742526,female,adult
253,5,Sweden,"Öland, Gärdlösa",ind. 7,bog skeleton,56.837683,16.742526,male,adult
254,5,Sweden,"Öland, Gärdlösa",ind. 8,bog skeleton,56.837683,16.742526,male,adult
255,5,Sweden,"Öland, Gärdlösa",ind. 12,bog skeleton,56.837683,16.742526,female,adult
256,5,Sweden,"Öland, Gärdlösa",ind. 15,bog skeleton,56.837683,16.742526,female,adult
257,5,Sweden,"Öland, Gärdlösa",ind. 18,bog skeleton,56.837683,16.742526,male,adult
