id,phase,country,location,name,preservation,lat,long,sex,age
322,3,United Kingdom,"Balgone 1-2, North Berwick",NA,bog skeleton,56.0333,-2.7016,unknown,unknown
323,5,Germany,"Oberdorla, Rieth",NA,bog skeleton,51.16226,10.4465,mixed,mixed 
324,2,Estonia,Võrumaa,NA,bog skeleton,57.84571,26.980405,mixed,mixed 
325,6,Norway,Guddal,NA,bog mummy,61.2465,5.5302,mixed,mixed 
326,2,Sweden,Alvastra,NA,bog skeleton (partial),58.2965,14.657,unknown,mixed 
327,3,Sweden,"Malmö, Hindbygården",NA,bog skeleton (partial),55.570537,13.042273,unknown,mixed 
328,5,Sweden,"Närtura, Hederviken",NA,skeletal remains,59.6933,18.1515,mixed,mixed 
329,5,Sweden,Knivsta,NA,bog skeleton,59.7256,17.7866,mixed,mixed 
330,5,Sweden,"Finnestorp, Västergötland",Finnestorp,bog skeleton,58.17085,13.2341,unknown,unknown
331,5,Finland,"Isokyrö, Levänluhta",NA,bog skeleton (partial),62.9489,22.4105,mixed,mixed 
